70000
Age0-9 Age10-19 Age20-29 Age30-49 Age50-69 Age70+ Gender ReadingGlasses Sunglasses 
00000.png 1 0 0 0 0 0 0 0 0 
00001.png 0 0 1 0 0 0 0 0 0 
00002.png 0 1 0 0 0 0 0 0 0 
00003.png 0 1 0 0 0 0 0 0 0 
00004.png 0 0 1 0 0 0 0 0 0 
00005.png 0 0 0 0 1 0 1 1 0 
00006.png 0 1 0 0 0 0 0 0 0 
00007.png 1 0 0 0 0 0 0 0 0 
00008.png 0 0 0 1 0 0 0 0 0 
00009.png 0 0 1 0 0 0 1 1 0 
00010.png 1 0 0 0 0 0 1 0 0 
00011.png 0 0 0 1 0 0 1 0 0 
00012.png 0 0 1 0 0 0 1 0 0 
00013.png 0 1 0 0 0 0 0 0 0 
00014.png 1 0 0 0 0 0 1 0 0 
00015.png 0 0 1 0 0 0 1 0 0 
00016.png 0 0 0 1 0 0 1 0 0 
00017.png 0 0 0 1 0 0 0 0 0 
00018.png 0 0 0 1 0 0 0 0 0 
00019.png 0 1 0 0 0 0 1 0 0 
00020.png 0 1 0 0 0 0 0 1 0 
00021.png 0 0 0 0 1 0 1 0 0 
00022.png 0 0 0 1 0 0 0 0 1 
00023.png 0 0 0 1 0 0 1 1 0 
00024.png 0 0 0 0 1 0 1 1 0 
00025.png 0 0 1 0 0 0 0 0 1 
00026.png 0 1 0 0 0 0 1 0 0 
00027.png 0 0 0 1 0 0 1 0 0 
00028.png 0 0 0 0 1 0 1 0 0 
00029.png 0 0 0 1 0 0 1 0 0 
00030.png 1 0 0 0 0 0 0 0 0 
00031.png 0 0 0 0 1 0 1 1 0 
00032.png 0 0 0 0 1 0 0 0 0 
00033.png 0 1 0 0 0 0 0 0 0 
00034.png 0 0 0 0 1 0 1 0 0 
00035.png 0 0 1 0 0 0 1 0 0 
00036.png 0 0 0 1 0 0 0 0 0 
00037.png 0 0 1 0 0 0 0 1 0 
00038.png 0 1 0 0 0 0 0 0 0 
00039.png 0 0 0 0 1 0 1 1 0 
00040.png 0 0 0 1 0 0 1 0 0 
00041.png 0 0 1 0 0 0 0 0 0 
00042.png 0 0 0 1 0 0 1 1 0 
00043.png 0 1 0 0 0 0 0 0 0 
00044.png 0 0 0 1 0 0 1 0 0 
00045.png 0 0 0 1 0 0 1 0 0 
00046.png 0 0 0 1 0 0 1 0 0 
00047.png 0 0 1 0 0 0 0 0 0 
00048.png 0 0 0 1 0 0 1 0 0 
00049.png 0 0 0 1 0 0 0 1 0 
00050.png 1 0 0 0 0 0 1 0 0 
00051.png 0 1 0 0 0 0 1 0 0 
00052.png 0 0 0 1 0 0 1 1 0 
00053.png 0 1 0 0 0 0 1 0 0 
00054.png 1 0 0 0 0 0 0 0 0 
00055.png 0 1 0 0 0 0 0 0 0 
00056.png 0 0 1 0 0 0 1 0 0 
00057.png 0 0 0 1 0 0 1 1 0 
00058.png 0 0 0 1 0 0 1 0 0 
00059.png 0 0 0 1 0 0 0 0 0 
00060.png 0 0 0 1 0 0 1 0 0 
00061.png 0 0 0 0 0 1 1 1 0 
00062.png 0 0 0 0 1 0 1 0 0 
00063.png 0 0 0 1 0 0 1 0 0 
00064.png 0 0 1 0 0 0 1 0 0 
00065.png 0 0 1 0 0 0 1 0 0 
00066.png 0 0 0 1 0 0 0 0 0 
00067.png 0 0 0 1 0 0 0 0 0 
00068.png 0 1 0 0 0 0 1 0 0 
